Orthogroup	Junonia_coenia	Danaus_plexippus
OG0000185	JC_11320-RA	DPOGS207877-PA
OG0000185	JC_11319-RA	DPOGS207876-PA
OG0000186	JC_16936-RA	DPOGS200588-PA
OG0000187	JC_16384-RA	DPOGS203099-PA
OG0000187	JC_16906-RA, JC_16385-RA	DPOGS205242-PA
OG0000188	JC_14936-RA	DPOGS200256-PA
OG0000188	JC_14941-RA, JC_14942-RA	DPOGS210268-PA
OG0000188	JC_14943-RA	DPOGS210271-PA, DPOGS210270-PA
OG0000188	JC_14940-RA	DPOGS210265-PA
OG0000189	JC_07046-RA	DPOGS204875-PA
OG0000189	JC_07049-RA, JC_07048-RA, JC_07047-RA, JC_07050-RA	DPOGS204874-PA, DPOGS204870-PA, DPOGS204872-PA, DPOGS204871-PA, DPOGS204873-PA
OG0000190	JC_06617-RA, JC_06615-RA, JC_06614-RA	DPOGS210733-PA
OG0000193	JC_06325-RA	DPOGS208229-PA
OG0000193	JC_06528-RA, JC_06527-RA	DPOGS211597-PA
OG0000194	JC_02952-RA, JC_15116-RA, JC_07427-RA	DPOGS208929-PA
OG0000196	JC_06588-RA, JC_09820-RA, JC_11738-RA, JC_11737-RA, JC_06587-RA, JC_01320-RA, JC_01322-RA, JC_01318-RA, JC_01316-RA, JC_01319-RA, JC_01323-RA, JC_01321-RA	DPOGS215622-PA
OG0000197	JC_00320-RA	DPOGS204239-PA
OG0000198	JC_03773-RA	DPOGS212099-PA
OG0000198	JC_04209-RA	DPOGS212166-PA, DPOGS212165-PA, DPOGS212098-PA, DPOGS212164-PA
OG0000199	JC_07461-RA	DPOGS205139-PA, DPOGS200471-PA
OG0000200	JC_03361-RA, JC_03362-RA	DPOGS209914-PA
