Orthogroup	Vanessa_cardui	Junonia_coenia
OG0000167	Vcard_DToL18010-RA, Vcard_DToL18016-RA, Vcard_DToL04638-RA	JC_03065-RA
OG0000169	Vcard_DToL13220-RA	JC_09918-RA
OG0000169	Vcard_DToL13215-RA	JC_09913-RA
OG0000169	Vcard_DToL13212-RA	JC_09912-RA
OG0000170	Vcard_DToL09757-RA	JC_05858-RA
OG0000170	Vcard_DToL09756-RA	JC_05860-RA
OG0000171	Vcard_DToL06760-RA	JC_09304-RA
OG0000171	Vcard_DToL06761-RA	JC_09306-RA, JC_09305-RA
OG0000171	Vcard_DToL06758-RA	JC_09303-RA
OG0000172	Vcard_DToL08046-RA	JC_11629-RA
OG0000174	Vcard_DToL01198-RA, Vcard_DToL01197-RA	JC_01298-RA
OG0000174	Vcard_DToL01201-RA	JC_01295-RA
OG0000174	Vcard_DToL00231-RA	JC_02058-RA
OG0000175	Vcard_DToL16841-RA	JC_15584-RA
OG0000175	Vcard_DToL08937-RA	JC_03752-RA
OG0000175	Vcard_DToL09691-RA	JC_07347-RA
OG0000177	Vcard_DToL18686-RA	JC_16605-RA
OG0000178	Vcard_DToL16798-RA	JC_15551-RA
OG0000178	Vcard_DToL16964-RA	JC_15684-RA
OG0000180	Vcard_DToL00698-RA, Vcard_DToL00695-RA, Vcard_DToL00696-RA, Vcard_DToL00697-RA	JC_01798-RA
OG0000180	Vcard_DToL00694-RA	JC_01797-RA
OG0000181	Vcard_DToL11362-RA, Vcard_DToL11365-RA	JC_11533-RA, JC_11539-RA
OG0000182	Vcard_DToL04801-RA	JC_06575-RA, JC_06574-RA, JC_04497-RA, JC_04499-RA, JC_04506-RA, JC_04504-RA, JC_04507-RA, JC_04500-RA, JC_04502-RA, JC_04503-RA, JC_04505-RA, JC_04501-RA
OG0000183	Vcard_DToL13208-RA	JC_09899-RA
OG0000183	Vcard_DToL03435-RA	JC_02434-RA
OG0000183	Vcard_DToL01715-RA	JC_00847-RA
OG0000184	Vcard_DToL04778-RA	JC_04529-RA, JC_04531-RA
OG0000184	Vcard_DToL10518-RA	JC_06432-RA
OG0000184	Vcard_DToL10517-RA	JC_06434-RA
OG0000185	Vcard_DToL11157-RA	JC_11317-RA
OG0000185	Vcard_DToL11158-RA	JC_11318-RA
OG0000185	Vcard_DToL11159-RA	JC_11319-RA
OG0000186	Vcard_DToL18093-RA	JC_16936-RA
OG0000187	Vcard_DToL18267-RA	JC_16384-RA
OG0000187	Vcard_DToL18153-RA	JC_16906-RA
OG0000187	Vcard_DToL18155-RA	JC_16385-RA
OG0000188	Vcard_DToL16002-RA	JC_14941-RA, JC_14942-RA
OG0000188	Vcard_DToL16003-RA, Vcard_DToL16004-RA	JC_14940-RA
OG0000189	Vcard_DToL12111-RA	JC_07046-RA
OG0000189	Vcard_DToL12109-RA, Vcard_DToL12110-RA	JC_07049-RA, JC_07048-RA, JC_07047-RA, JC_07050-RA
OG0000190	Vcard_DToL10323-RA	JC_06617-RA
OG0000190	Vcard_DToL10320-RA	JC_06615-RA
OG0000193	Vcard_DToL10620-RA	JC_06325-RA
OG0000193	Vcard_DToL10412-RA	JC_06527-RA
OG0000194	Vcard_DToL18679-RA	JC_02952-RA, JC_15116-RA, JC_07427-RA
OG0000196	Vcard_DToL01176-RA, Vcard_DToL01174-RA	JC_01322-RA, JC_01318-RA, JC_01316-RA, JC_01319-RA, JC_01323-RA, JC_01321-RA
OG0000197	Vcard_DToL02361-RA	JC_00320-RA
OG0000198	Vcard_DToL08912-RA	JC_03773-RA
OG0000200	Vcard_DToL04306-RA	JC_03361-RA, JC_03362-RA
OG0000200	Vcard_DToL04305-RA	JC_03360-RA
OG0000200	Vcard_DToL04304-RA	JC_03371-RA, JC_03359-RA, JC_03365-RA, JC_03369-RA
OG0000201	Vcard_DToL12097-RA	JC_07060-RA
OG0000202	Vcard_DToL05319-RA	JC_04951-RA, JC_04950-RA
OG0000202	Vcard_DToL05320-RA	JC_04948-RA, JC_04949-RA
OG0000203	Vcard_DToL04165-RA, Vcard_DToL04159-RA, Vcard_DToL04158-RA, Vcard_DToL04161-RA, Vcard_DToL04162-RA	JC_03487-RA
OG0000205	Vcard_DToL03236-RA	JC_05405-RA
OG0000206	Vcard_DToL18698-RA	JC_16685-RA, JC_10718-RA, JC_16686-RA
